42,2019-01-06 00:00:00+00,Kensie,780704746,Transplace,Hayes,Store 559,"Mesquite, TX 75149","Muscatine, IA 52761","1201 Chase Rd, Mesquite, TX 75149","3003 N Highway 61, Muscatine, IA 52761",1250,807,32,839,1.49,447,461,125,0,0,0,0,0,0,0,0,1034,216,NA,0,Van,"",2019-01-06 04:36:50.049+00,2019-01-08 01:32:48.03+00,1,4,119
62,2019-02-25 00:00:00+00,Scott,159548-0,National Traffic Systems,NA,NA,"Longview, TX","Winchester, VA","Longview, TX","Winchester, VA",2100,1181,75,1256,1.67,809,754,210,0,0,0,0,0,0,0,0,1773,327,NA,0,Van,"",2019-03-05 03:25:15.965+00,2019-03-05 03:47:17.664+00,54,6,119
46,2019-01-11 00:00:00+00,Kensie,3071550,Landstar,Amerimax Home Products,Euramax Exterior Products,"Duluth, GA 30096","Lancaster, PA 17601","4455 River Green Pkwy, Duluth, GA 30096","450 Richardson Driver, Lancaster, PA 17601",1200,728,41,769,1.56,410,423,120,0,0,0,0,0,0,0,0,953,247,Consumer goods or appliances,19323,Van,"",2019-01-20 15:01:27.119+00,2019-01-20 15:08:36.626+00,15,4,119
50,2019-01-22 00:00:00+00,Kensie,6113,Seneca Logistics Group,NA,NA,"Elyria, OH 44035","Naples, FL 34114","Elyria, OH 44035","Naples, FL 34114",2650,1300,45,1345,1.97,717,740,265,0,0,0,0,0,0,0,0,1722,928,Plastic Garden Supplies,20025,Van,"",2019-01-24 02:28:16.547+00,2019-01-24 02:28:16.547+00,33,4,119
54,2019-01-29 00:00:00+00,Kensie,1206712,Best Logistics,Bluewater Thermal Solutions,ATI Lebanon Operations,"Melrose Park, IL 60160","Lebanon, KY 40033","5400 West Lake St, Melrose Park, IL 60160","400 Corporate Drive, Lebanon, KY 40033",850,376,18,394,2.16,210,217,85,0,0,0,0,0,0,0,0,512,338,Steel,40000,Van,"",2019-01-29 18:30:22.455+00,2019-01-29 18:32:08.095+00,48,4,119
18,2018-10-18 04:00:00+00,Tim,3320224,US Xpress Logistics,Philips Consumer Lifestyle,Amazon,"Lockbourne, OH 43137","Hebron, KY 41048","1450 Commodity Blvd, Lockbourne, OH 43137","3680 Langley Drive, Hebron, KY 41048",530,122,62,184,2.88,98,101,53,0,0,0,0,0,0,0,0,252,278,0,18503,NA,/home/toshiba/Fullstack/Test/transmax/server/app/db/brokerConfirmations/090518_reliableSourceLogistics.pdf,2018-11-04 15:47:12.806+00,2018-11-04 15:47:37.845+00,17,3,119
16,2018-10-12 04:00:00+00,Tim,5578769,Landstar,Graphic Packaging International,Sygma,"Marion, OH 43302","Ft Worth, TX 76115","1171 W Center St, Marion, OH 43302","5500 S Freeway, Ft Worth, TX 76115",2150,1114,115,1229,1.75,655,676,215,0,0,0,0,0,0,0,0,1546,604,Consumer goods or appliances,40000,Dry Van,/home/toshiba/Fullstack/Test/transmax/server/app/db/brokerConfirmations/090518_reliableSourceLogistics.pdf,2018-11-04 15:47:12.805+00,2018-11-04 15:47:39.24+00,15,3,119
15,2018-10-11 04:00:00+00,Tim,OHB113391,West Motor Freight of PA,RTL Enterprises,Minerva Enterprises,"Portland, CT 06480","Waynesburg, OH 44688","173 Pickering St, Portland, CT 06480","8955 Minerva Rd, Waynesburg, OH 44688",900,546,53,599,1.5,319,329,90,0,0,0,0,0,0,0,0,739,161,Construction Debris/Landfill material,40000,Dry Van,/home/toshiba/Fullstack/Test/transmax/server/app/db/brokerConfirmations/090518_reliableSourceLogistics.pdf,2018-11-04 15:47:12.804+00,2018-11-04 15:47:39.862+00,14,3,119
14,2018-10-09 04:00:00+00,Tim,5420192,Trinity Logistics,Argadh Glass,Yankee Candle,"Winchester, IN 47394","Chicopee, MA 01021","Ardagh 603 E North St, Winchester, IN 47394","1 Better Way, Chicopee, MA 01021",2400,820,82,902,2.66,481,496,240,0,0,0,0,0,0,0,0,1217,1183,Glass,42883,Dry Van,/home/toshiba/Fullstack/Test/transmax/server/app/db/brokerConfirmations/090518_reliableSourceLogistics.pdf,2018-11-04 15:47:12.804+00,2018-11-04 15:47:40.614+00,13,3,119
12,2018-10-01 04:00:00+00,Kelvin,150753,"AuptiX, Inc.",Chris Heinzman,Brecknock Orchard Farms,"Columbus, IN","Mohnton, PA","6848 East 500 South, Columbus, IN 47201","390 Orchard Road, Mohnton, PA 19540",2450,610,91,701,3.5,374,386,245,0,0,0,0,0,0,0,0,1004,1446,Pumpkins,40000,Dry Van,/home/toshiba/Fullstack/Test/transmax/server/app/db/brokerConfirmations/090518_reliableSourceLogistics.pdf,2018-11-04 15:47:12.8+00,2018-11-04 15:47:42.093+00,12,1,119
11,2018-09-27 04:00:00+00,Kelvin,57119136,PLS Logistics Services,Tristar Products Inc,Sams DC,"Meriden, CT","Greenfield, IN","550 Research Pkwy, Meriden, CT 06450","488 W Muskegon Rd, Greenfield, IN 46140",1250,800,42,842,1.48,449,463,125,0,0,0,0,0,0,0,0,1037,213,Dry goods,10500,Dry Van,/home/toshiba/Fullstack/Test/transmax/server/app/db/brokerConfirmations/090518_reliableSourceLogistics.pdf,2018-11-04 15:47:12.8+00,2018-11-04 15:47:42.83+00,11,1,119
10,2018-09-25 04:00:00+00,Kelvin,6758247,XPO Logistics,R&B Inc Motormite,DC 41 Hartford,"Warsaw, KY","Enfield, CT","25 Dorman Drive, Warsaw, KY 41095","300 Shaker Rd, Enfield, CT 06082",2350,820,50,870,2.7,464,479,235,0,0,0,0,0,0,0,0,1178,1173,Consumer goods,16000,Dry Van,/home/toshiba/Fullstack/Test/transmax/server/app/db/brokerConfirmations/090518_reliableSourceLogistics.pdf,2018-11-04 15:47:12.799+00,2018-11-04 15:47:43.598+00,10,1,119
9,2018-09-20 04:00:00+00,Kelvin,5058259,Grane Logistics Express,AL3,Navistar Cross Dock Co Dayton,"Racine, WI","Huber Heights, OH","1312 North Memorial Drive, Racine, WI 53404","6265 Executive Blvd, Huber Heights, OH 45424",1150,375,160,535,2.15,285,294,115,0,0,0,0,0,0,0,0,695,455,NA,4813,Dry Van,/home/toshiba/Fullstack/Test/transmax/server/app/db/brokerConfirmations/090518_reliableSourceLogistics.pdf,2018-11-04 15:47:12.799+00,2018-11-04 15:47:51.427+00,9,1,119
7,2018-09-18 04:00:00+00,Kelvin,41612,Gateway Logistics Inc.,Cree Lighting,Gateway Distribution,"Racine, WI","Cincinnati, OH","9201 Washington Ave, Racine, WI 53406","11755 Lebanon Rd, Cincinnati, OH 45241",1050,375,11,386,2.72,206,212,105,0,0,0,0,0,0,0,0,523,527,Light poles & fixtures,35000,Dry Van,/home/toshiba/Fullstack/Test/transmax/server/app/db/brokerConfirmations/090518_reliableSourceLogistics.pdf,2018-11-04 15:47:12.798+00,2018-11-04 15:48:00.217+00,7,1,119
58,2019-02-09 00:00:00+00,Philip,469047,Spot,NA,Viking Coca Cola,"Bowling Green, OH 43402","St Cloud, MN 56303","307 Industrial Pkwy, Bowling Green, OH 43402","4610 Rusan Street N, St Cloud, MN 56303",1350,730,126,856,1.58,457,471,135,0,0,0,0,0,0,0,0,1062,288,NA,0,Van,"",2019-02-11 04:16:04.335+00,2019-02-11 04:16:04.335+00,50,5,119
6,2018-09-17 04:00:00+00,Kelvin,929395,American Logistics Inc.,Huhtamaki Batavia Dist,Gordon Food Service,"Batavia, OH","Kenosha, WI","1985 James E. Sauls Sr. Drive, Batavia, OH 45103","10901 38th St, Kenosha, WI 53144",1000,391,35,426,2.35,227,234,100,0,0,0,0,0,0,0,0,562,439,NA,20404,Van or Reefer,/home/toshiba/Fullstack/Test/transmax/server/app/db/brokerConfirmations/090518_reliableSourceLogistics.pdf,2018-11-04 15:47:12.798+00,2018-11-04 15:48:02.208+00,6,1,119
